City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Mumbai,12/14/2019,50.06,110.41,25.28,36.34,60.45,16.16,0.99,12.67,33.34,4.87,,,
Mumbai,12/15/2019,69.63,143.27,26.16,40.24,65.19,15.63,1.15,12.47,34.86,5.39,,,
Mumbai,12/16/2019,89.46,161.83,29.25,39.26,67.28,16.79,1.34,13.46,33.36,6.17,,,
Mumbai,12/17/2019,80.42,149.67,29.99,37.31,66.23,17.29,1.18,10.74,38.95,7.29,,,
Mumbai,12/18/2019,73.92,137.11,22.08,37.22,59.3,17.01,0.92,10.17,40.44,6.89,,,
Mumbai,12/19/2019,75.17,138.83,26.2,38.8,64.03,17.47,0.98,9.88,35.35,6.69,,,
Mumbai,12/20/2019,94.27,169.49,32.6,49.03,79.62,18.38,1.14,10.1,39.76,8.19,,,
Mumbai,12/21/2019,94.04,174.95,43.51,45.96,88.32,18.72,1.25,10.79,27.67,7.85,,,
Mumbai,12/22/2019,94.72,171.39,32.75,41.58,72.93,19.23,1.21,11.57,26.98,7.44,,,
Mumbai,12/23/2019,94.33,167.3,35.31,37.77,72.19,20.09,1.18,13.41,30.36,7.41,,,
Mumbai,12/24/2019,122.89,205.91,30.94,46.54,77.07,23.81,1.28,11.52,41.44,8.72,,,
Mumbai,12/25/2019,134.32,215.78,24.85,44.73,69.58,23.2,1.26,10.77,28.58,8.11,,,
Mumbai,12/26/2019,87.5,152.83,24.13,34.22,58.34,21.21,0.98,10.49,29.76,7.32,,,
Mumbai,12/27/2019,88.03,154.44,30.85,39.77,70.12,19.47,1.02,10.27,32.89,6.55,,,
Mumbai,12/28/2019,75.77,140.33,28.21,35.86,63.78,18.35,0.98,8.75,33.43,6.15,,,
Mumbai,12/29/2019,75.81,145.75,26.83,36.07,62.91,18.59,0.98,9.36,36.88,6.83,,,
Mumbai,12/30/2019,86.42,155.08,27.84,36.03,62.84,18.84,1.03,9.28,41.98,6.62,,,
Mumbai,12/31/2019,65.76,127.82,16.87,37.46,54.33,15.52,0.82,10.47,56.55,5.72,,,
Mumbai,1/1/2020,104.06,183.88,40.17,46.39,85.81,15.69,1.22,10.98,45.97,8.16,,,
Mumbai,1/2/2020,107.87,171.73,14.73,41.14,55.87,16.86,1.02,8.03,48.34,6.89,,,
Mumbai,1/3/2020,93.64,157.8,18.77,40.42,59.18,15.47,0.97,7.94,48.31,6.12,,,
Mumbai,1/4/2020,94.05,158.44,13.92,39.68,53.59,15.1,0.96,6.66,49.76,5.86,,,
Mumbai,1/5/2020,91.04,162.68,28.01,39.93,67.61,16.3,1.1,7.9,39.59,3.51,,,
Mumbai,1/6/2020,70.2,142.64,24.3,38.91,63.21,18.3,1.01,8.68,43.46,3.18,,,
Mumbai,1/7/2020,87.2,165.84,44.5,42.33,85.98,21.67,1.29,9.46,31.33,4.81,,,
Mumbai,1/8/2020,64.97,120.55,23.68,29.07,50.91,18.76,0.89,7.73,36.12,2.91,,,
Mumbai,1/9/2020,59.98,126.87,16.13,38.98,54.9,15.59,0.85,8.96,39.85,2.53,,,
Mumbai,1/10/2020,65.06,143.74,22.62,43.01,65.51,14.29,0.93,10.04,36.59,5.41,,,
Mumbai,1/11/2020,76.71,162.07,31.83,43.56,72.78,22.54,1.08,10.12,38.7,6.42,,,
Mumbai,1/12/2020,98.12,194.66,57.3,38.02,92.98,26.77,1.47,10.84,33.46,8.98,,,
Mumbai,1/13/2020,68.39,120.46,18.8,29.65,47.02,23.91,0.84,6.73,28.54,5.24,,,
Mumbai,1/14/2020,36.33,97.67,21.17,26.54,46.51,18.73,0.7,6.28,30.25,4.48,,,
Mumbai,1/15/2020,30.53,91.62,18.69,30.43,49.11,15.37,0.65,6.32,37.85,3.56,,,
Mumbai,1/16/2020,34.16,84.73,15.66,31.54,47.2,16.18,0.66,5.95,37.14,3.36,,,
Mumbai,1/17/2020,51,115.87,21.31,41.19,62.5,15.45,0.68,6.3,38.68,3.72,,,
Mumbai,1/18/2020,87.28,167.77,21.29,55.99,77.28,18.35,0.98,7.63,37.57,3.82,,,
Mumbai,1/19/2020,96.1,195.03,48.56,48.29,93.9,20.81,1.12,8.28,35.96,5.51,,,
Mumbai,1/20/2020,89.26,181.54,49.49,47.23,93.54,22.7,1.3,10.52,41.83,5.53,,,
Mumbai,1/21/2020,96.99,207.73,65,44.95,104.64,23.11,1.58,10.32,37.38,9.97,,,
Mumbai,1/22/2020,78.69,173.23,71.62,42.07,110.22,22.24,1.49,11.8,37.74,7.48,,,
Mumbai,1/23/2020,87.78,189.99,39.85,44.52,84.15,22.07,1.24,11.77,40.14,4.65,,,
Mumbai,1/24/2020,73.57,163.95,36.83,40.8,76.32,20.89,1.17,11.7,39.02,4.24,,,
Mumbai,1/25/2020,91.57,192.11,43.7,43.88,85.32,22.38,1.32,14.01,47.99,3.41,,,
Mumbai,1/26/2020,103.35,210.51,47.34,43.92,88.43,22.89,1.4,13.46,39.74,4.32,,,
Mumbai,1/27/2020,57.22,120.42,21.19,29,50.18,22.26,0.76,10.5,35.14,1.99,,,
Mumbai,1/28/2020,25.47,81.69,27.08,21.6,45.51,19.6,0.64,8.01,22.79,3.72,,,
Mumbai,1/29/2020,19.77,97,13.46,22.88,34.71,16.2,0.56,4.22,37.65,1.54,,,
Mumbai,1/30/2020,52.66,141.65,25.75,38.17,62.06,17.89,0.84,8.11,42.4,2.9,,,
Mumbai,1/31/2020,65.97,158.62,30.65,43.82,70.91,18.82,1.03,8.65,42.66,3.17,,,
Mumbai,2/1/2020,72.14,168.79,31.63,46.68,75.13,19.18,1.12,7.48,41.77,3.24,,,
Mumbai,2/2/2020,80.79,186.22,51.93,38.05,81.8,22.59,1.31,8.75,37.43,5.04,,,
Mumbai,2/3/2020,83.47,165.19,36.72,35.54,67.27,23.47,1.28,6.21,35.33,3.86,,,
Mumbai,2/4/2020,77.73,151.8,16.67,40.07,55.74,21.14,0.77,7.25,55.83,2.96,,,
Mumbai,2/5/2020,60.91,153.38,36.17,47.47,82.28,20.72,0.96,9.38,41.6,2.78,,,
Mumbai,2/6/2020,47.67,127.57,16.91,36.64,51.75,21.09,0.87,7.87,52.05,2.41,,,
Mumbai,2/7/2020,49.35,136.21,32.11,39.96,68.25,20.77,0.9,9.22,46.27,2.57,,,
Mumbai,2/8/2020,68.47,151.73,24.39,39.85,61.71,21.46,1,7.72,47.02,3.5,,,
Mumbai,2/9/2020,68.29,144.61,14.68,31.18,44.17,20.06,1.03,9.26,44.3,1.76,,,
Mumbai,2/10/2020,56.58,129.32,17.49,36.19,51.98,18.16,0.93,8.38,45.84,1.93,,,
Mumbai,2/11/2020,60.95,143.87,26.37,38.82,62.47,19.31,1.05,8.71,39.01,3.32,,,
Mumbai,2/12/2020,60.53,145.25,31.29,48.17,76.66,19.98,1.1,8.9,38.14,3.02,,,
Mumbai,2/13/2020,67.91,152.14,43.06,52.26,94.87,20.6,1.11,8.5,41.11,2.61,,,
Mumbai,2/14/2020,58.14,149.22,33.45,48.61,82.04,19.47,0.87,9.01,46.83,4.08,,,
Mumbai,2/15/2020,53.27,151.37,37.35,45.62,82.97,19.77,0.88,9.59,36.31,4.41,,,
Mumbai,2/16/2020,68.93,165.51,26.61,47.33,73.92,18.7,0.95,10.41,54.41,5.14,,,
Mumbai,2/17/2020,102.48,212.49,40.65,54.75,95.3,21.74,1.3,9.46,54.43,8.23,,,
Mumbai,2/18/2020,88.15,201.4,40.77,61.16,101.97,23.17,1.25,12.09,51.79,11.52,,,
Mumbai,2/19/2020,92.5,212.28,52.42,59.13,110.76,30.49,1.32,14.81,47.26,14.4,,,
Mumbai,2/20/2020,62.8,146.64,37.9,46.33,84.24,23.47,1,10.38,27.28,9.24,,,
Mumbai,2/21/2020,39.37,100.68,26.82,35.82,62.63,23.77,0.75,9.11,23.71,4.69,,,
Mumbai,2/22/2020,65.93,157.96,27.56,53.25,80.8,21.75,0.97,12.37,43.03,7.55,,,
Mumbai,2/23/2020,77.63,194.83,37.84,57.94,95.9,21.11,1.19,13.28,47.06,9.84,,,
Mumbai,2/24/2020,84.7,185.63,35.27,56.76,92.03,21.9,1.22,12.73,46.95,9.79,,,
Mumbai,2/25/2020,48.01,152.41,38.95,49.44,86.91,20.22,0.95,11.32,32.01,6.25,,,
Mumbai,2/26/2020,41.03,131.59,17.35,50.32,67.68,21.45,0.75,14.57,46.17,5.06,,,
Mumbai,2/27/2020,51.74,144.95,27.45,57.91,85.28,23.77,0.92,15.46,50.93,6.58,,,
Mumbai,2/28/2020,77.61,185.24,63.03,71.94,132.6,23.88,1.37,16.66,43.82,12.56,,,
Mumbai,2/29/2020,74.98,183.77,61.44,58.47,120.01,26.05,1.24,16.08,27.98,12.57,,,
Mumbai,3/1/2020,43.39,121.29,23.67,32.11,55.78,28.59,0.65,13.19,23.93,4.06,,,
Mumbai,3/2/2020,52.18,142.49,49.03,28.46,77.28,21.12,0.77,16.93,19.25,7.63,,,
Mumbai,3/3/2020,43.68,137.1,20.36,26.55,46.47,21.76,0.46,17.25,27.79,4.32,,,
Mumbai,3/4/2020,36.73,122.49,21.57,27.93,48.46,19.32,0.52,15.98,27.16,5.11,,,
Mumbai,3/5/2020,32.59,108.48,17.09,26.95,43.7,19.16,0.53,17.87,21.06,4.07,,,
Mumbai,3/6/2020,20.15,105.77,21.05,19.07,40.01,17.49,0.43,17.17,18.27,3.78,,,
Mumbai,3/7/2020,24.45,131.04,14.59,23.93,38.51,16.16,0.48,9.15,27.96,3.57,,,
Mumbai,3/8/2020,27,125.15,20.26,31.81,52.07,14.65,0.57,9.73,30.18,4.24,,,
Mumbai,3/9/2020,35.03,134.18,17.46,31.06,48.52,16.27,0.67,9.61,28.36,4.54,,,
Mumbai,3/10/2020,40.47,125.98,19.71,20.36,39.93,18.29,0.77,12.7,22.31,6.98,,,
Mumbai,3/11/2020,16.04,74.65,13.42,19.18,32.6,14.87,0.43,11.07,24.98,3.28,,,
Mumbai,3/12/2020,18.59,80.55,17.93,24.74,42.67,14.78,0.49,10.72,22.72,3.65,,,
Mumbai,3/13/2020,23.81,108.48,12.31,30.64,42.95,14.74,0.5,7.84,34.81,3.03,,,
Mumbai,3/14/2020,30.33,126.36,11.69,34.81,46.5,15.92,0.58,7.96,41.79,5.85,,,
Mumbai,3/15/2020,49.84,175.84,42.39,41.75,84.12,17.02,1.01,12.24,36,7.16,,,
Mumbai,3/16/2020,57.99,190.49,42.84,53.12,95.94,22.98,1.24,14.86,40.61,12.13,,,
Mumbai,3/17/2020,78.54,204.96,73.59,52.95,125.6,19.98,1.66,15.1,45.85,13.17,,,
Mumbai,3/18/2020,52.03,150.71,47.33,42.38,89.72,20.92,1.02,11.79,40.01,13.75,,,
Mumbai,3/19/2020,30.33,99.38,24.02,26.7,49.39,23.04,0.6,7.97,31.9,9.12,,,
Mumbai,3/20/2020,21.08,84.44,32.78,14.85,45.69,22.48,0.5,6.6,19.03,7.94,,,
Mumbai,3/21/2020,20.14,67.91,23.5,16.51,38.19,20.59,0.47,11,24.3,4.4,,,
Mumbai,3/22/2020,16.75,53.27,12.44,9.46,20.96,16.68,0.36,12.08,27.87,3,,,
Mumbai,3/23/2020,23.48,64.7,9.84,11.07,20.27,14.84,0.42,12.02,32.77,3.54,,,
Mumbai,3/24/2020,35.58,92.81,10.91,12.34,22.74,13.82,0.52,8.75,38.04,4.72,,,
Mumbai,3/25/2020,30.86,77.24,10.93,11.34,21.67,11.97,0.5,8.32,31.58,5.05,,,
Mumbai,3/26/2020,27.82,65.48,11.52,11.3,21.6,11.6,0.43,10.16,26.73,6.4,,,
Mumbai,3/27/2020,24.81,69.65,8.32,8.64,16.85,11.1,0.4,7.19,35.76,3.78,,,
Mumbai,3/28/2020,28.14,67.46,7.49,11.9,19.07,11.2,0.48,7.55,38.94,3.96,,,
Mumbai,3/29/2020,23.43,66.1,6.46,9.89,16.35,9.98,0.42,7.27,47.85,4.05,,,
Mumbai,3/30/2020,23.57,63.65,7.59,9.66,17.25,9.82,0.43,6.86,39.26,4.34,,,
Mumbai,3/31/2020,25.36,63.61,9.69,9,18.14,10.37,0.46,7.26,29.17,3.88,,,
Mumbai,4/1/2020,20.08,58.94,9.72,7.77,17.03,10.35,0.4,6.55,31.73,3.3,,,
Mumbai,4/2/2020,26.27,77.19,8.63,8.62,16.94,9.96,0.43,6.84,37.54,3.7,,,
Mumbai,4/3/2020,24.33,83.88,8.18,7.58,15.5,9.2,0.39,6.49,29.94,3.31,,,
Mumbai,4/4/2020,24.7,78.44,9.35,7.94,16.89,8.72,0.42,6.47,28.5,3.52,,,
Mumbai,4/5/2020,27.36,73.53,10.76,8.48,18.47,8.25,0.44,6.67,28.81,3.65,,,
Mumbai,4/6/2020,20.82,54.45,10.49,6.55,16.46,7.73,0.36,7.06,23.34,3.76,,,
Mumbai,4/7/2020,24.1,79.61,12.88,6.24,18.28,7.31,0.36,7.06,18.93,3.68,,,
Mumbai,4/8/2020,29.52,98.54,14.47,6.72,20.06,7.97,0.37,6.95,14.77,4.37,,,
Mumbai,4/9/2020,28.3,93.39,14.81,6.81,20.89,9.05,0.38,8.89,15.14,3.24,,,
Mumbai,4/10/2020,25.89,83.39,12.95,6.96,19.36,8.32,0.37,8.49,20.75,3.34,,,
Mumbai,4/11/2020,29.54,82.21,12.22,7.98,19.82,6.82,0.44,7.97,21.8,2.65,,,
Mumbai,4/12/2020,28.26,81.99,12.69,9.13,21.29,6.12,0.45,7.79,20.04,4.69,,,
Mumbai,4/13/2020,25.58,75.31,14.18,9.18,22.44,6.31,0.44,7.39,16.16,4.16,,,
Mumbai,4/14/2020,26.89,81.61,14.12,10.47,23.66,7.83,0.53,7.61,18.91,4.12,,,
Mumbai,4/15/2020,26.61,66.58,14.66,9.77,23.66,8.03,0.72,7.78,19.93,6.08,,,
Mumbai,4/16/2020,20.55,55.03,12.42,9.16,21.06,6.81,0.59,6.73,19.32,6.9,,,
Mumbai,4/17/2020,20.54,53.53,15.73,7.89,22.75,6.21,0.64,6.36,16.09,7.81,,,
Mumbai,4/18/2020,18.48,52.34,14.47,8.08,21.9,7.02,0.63,6.34,16.7,4.53,,,
Mumbai,4/19/2020,19.99,63.75,12.36,9.07,21.07,7.11,0.65,6.79,21.48,6.9,,,
Mumbai,4/20/2020,25.7,81,13.28,10.38,23.34,9.29,0.7,7.88,20.19,5.79,,,
Mumbai,4/21/2020,18.64,54.81,15.42,6.97,21.67,10.49,0.57,7.59,23.39,5.45,,,
Mumbai,4/22/2020,18.03,52.92,17.22,6.11,22.57,8.12,0.41,8.4,22.45,4.32,,,
Mumbai,4/23/2020,19.8,54.84,18.58,6.99,24.9,7.04,0.4,10.28,19.66,3.45,,,
Mumbai,4/24/2020,20.82,47.88,17.53,6.09,22.62,6.92,0.38,11.57,18.66,4.22,,,
Mumbai,4/25/2020,16.78,44.63,15.01,6.5,20.87,6.74,0.32,12.46,23.08,5.06,,,
Mumbai,4/26/2020,19.05,51.09,17.43,8.25,24.82,6.13,0.36,14.12,22.98,14.21,,,
Mumbai,4/27/2020,17.23,45.04,15.92,5.72,20.66,6.06,0.34,14.37,17.94,8.98,,,
Mumbai,4/28/2020,19.82,50.93,13.63,7.66,20.73,6.12,0.35,13.98,25.02,16.93,,,
Mumbai,4/29/2020,21.01,57.68,19.66,6.68,28.03,5.42,0.36,14.49,24.01,13.9,,,
Mumbai,4/30/2020,20.8,53.42,15.49,6.96,21.92,5.42,0.33,15.2,17.54,4.34,,,
Mumbai,5/1/2020,15.53,43.76,14.86,5.54,19.46,5.4,0.31,14.47,18.53,2.59,,,
Mumbai,5/2/2020,13.15,39.87,17.89,5.44,24.58,4.84,0.28,12.43,16.06,2.28,,,
Mumbai,5/3/2020,12.02,34.64,15.73,5.28,19.74,5.47,0.27,12.04,15.22,2.57,,,
Mumbai,5/4/2020,11.51,33.77,19.77,5.21,23.67,5.86,0.28,11.52,14.68,2.52,,,
Mumbai,5/5/2020,11.2,42.66,24.49,6.59,28.82,6.16,0.29,10.62,16.25,2.83,,,
Mumbai,5/6/2020,12.09,55.6,22.12,6.71,26.12,5.28,0.3,12.95,17.43,2.19,,,
Mumbai,5/7/2020,14.3,52.48,23.01,6.24,25.71,4.3,0.35,20.98,19.58,2.77,,,
Mumbai,5/8/2020,15.26,60.85,20.66,5.62,22.25,3.93,0.38,29.68,21.41,2.9,,,
Mumbai,5/9/2020,14.21,54.67,17.02,5.12,18.7,4.03,0.3,32.49,21.56,3.11,,,
Mumbai,5/10/2020,13.08,49.13,26.93,3.32,27.04,3.19,0.3,32.18,19.12,2.98,,,
Mumbai,5/11/2020,16.85,57.84,28.97,6.4,32.83,3.6,0.36,28.8,18.86,3.15,,,
Mumbai,5/12/2020,13.72,51.68,32.32,5.73,35.71,3.53,0.34,37.37,18.22,2.8,,,
Mumbai,5/13/2020,14.67,53.52,21.01,7.35,27.59,3.73,0.28,29.05,19.43,2.08,,,
Mumbai,5/14/2020,15.23,56.14,21.05,9.24,29.15,2.91,0.29,21.85,15.53,2.3,,,
Mumbai,5/15/2020,17.67,62.36,19.37,9.47,28.12,4.07,0.31,26.61,15.69,3.23,,,
Mumbai,5/16/2020,30.44,109.67,29.33,9.88,37.14,4.49,0.31,14.56,18.71,2.7,,,
Mumbai,5/17/2020,29.74,110.21,17.76,8.21,23.7,4.38,0.28,13.73,23.93,2.47,,,
Mumbai,5/18/2020,21.3,74.82,15.73,9.61,22.49,4.34,0.26,15.6,24.78,2.11,,,
Mumbai,5/19/2020,15.36,65.41,22.2,9.44,28.68,4.19,0.28,14.24,19.74,1.68,,,
Mumbai,5/20/2020,14.14,48.48,22.15,11.07,31.18,5.56,0.28,14.07,19.82,2.2,,,
Mumbai,5/21/2020,16.44,43.01,15.41,12.93,26.23,4.12,0.27,12.22,20.84,1.89,,,
Mumbai,5/22/2020,14.78,43.77,13.97,11.9,24.26,3.23,0.26,12.06,21.34,0.8,,,
Mumbai,5/23/2020,15.18,52.48,16.39,10.89,27.1,3.29,0.29,10.33,18.87,1,,,
Mumbai,5/24/2020,12.33,44.41,14.5,10.01,24.05,3.11,0.25,9.66,18.56,0.64,,,
Mumbai,5/25/2020,11.81,53.97,13.1,9.36,21.39,3.07,0.25,8.85,19.15,0.7,,,
Mumbai,5/26/2020,12.64,60.01,15.81,8.14,23.68,3.08,0.24,8.57,18.75,0.62,,,
Mumbai,5/27/2020,11.7,49.07,16.71,8.74,25.38,4.51,0.21,6.44,19.01,0.71,,,
Mumbai,5/28/2020,12.21,46.97,15.52,7.43,22.69,4.61,0.22,6.76,18.17,0.52,,,
Mumbai,5/29/2020,7.33,30.7,14.79,7.02,21.64,3.74,0.26,7.58,17.14,0.63,,,
Mumbai,5/30/2020,10.08,42.19,15.83,6.63,22.16,3.61,0.27,6.93,14.37,0.8,,,
Mumbai,5/31/2020,8.99,41.07,13.06,6.51,19.4,3.39,0.31,6.9,15.63,1.56,,,
Mumbai,6/1/2020,17.27,44.22,15.13,13.22,28.31,3.4,0.33,7.68,25.44,2.39,,,
